Name,year,AcresBurned,Counties,Started,Extinguished,Latitude,Longitude,MajorIncident,PersonnelInvolved,duration_days,start_date,day_of_year
54 Fire,2013,40,Riverside,2013-05-16T13:48:00Z,2013-05-17T08:30:00Z,33.655638,-116.161201,TRUE,65,0.7791666666666667,2013-05-16,136
Lake Fire,2013,712,Los Angeles,2013-05-17T13:23:00Z,2013-05-18T19:00:00Z,34.49149,-118.610044,FALSE,NA,1.2340277777777777,2013-05-17,137
Lilly 2 Fire,2013,91,Madera,2013-05-19T15:07:00Z,2013-05-20T19:10:00Z,37.1927,-119.7917,TRUE,NA,1.16875,2013-05-19,139
Cherry Fire,2013,25,Riverside,2013-05-20T13:47:00Z,2013-05-20T18:50:00Z,33.96201,-116.907213,FALSE,NA,0.21041666666666667,2013-05-20,140
Cottontail Fire,2013,35,San Luis Obispo,2013-05-20T15:45:00Z,2013-05-20T19:10:00Z,35.49864,-120.91375,FALSE,NA,0.1423611111111111,2013-05-20,140
Border Fire,2013,100,San Diego,2013-05-22T16:14:00Z,2013-05-23T08:30:00Z,32.564465,-116.900368,FALSE,NA,0.6777777777777778,2013-05-22,142
Neal Fire,2013,150,Butte,2013-05-22T00:56:00Z,2013-05-22T09:30:00Z,0,0,TRUE,60,0.35694444444444445,2013-05-22,142
San Felipe Fire,2013,2781,San Diego,2013-05-23T12:20:00Z,2013-05-26T17:45:00Z,33.12111,-116.52579,TRUE,911,3.2256944444444446,2013-05-23,143
Homestead Fire,2013,50,San Luis Obispo,2013-05-25T17:35:00Z,2013-05-25T18:45:00Z,35.5123,-120.6368,FALSE,NA,0.04861111111111111,2013-05-25,145
Smiley Fire,2013,124,Riverside,2013-05-25T14:59:00Z,2013-05-25T23:00:00Z,33.963591,-117.187934,FALSE,NA,0.33402777777777776,2013-05-25,145
General Fire,2013,1271,San Diego,2013-05-26T12:04:00Z,2013-05-31T06:15:00Z,33.04458,-116.5209,TRUE,1217,4.757638888888889,2013-05-26,146
White Fire,2013,1984,Santa Barbara,2013-05-27T14:45:00Z,2013-05-30T19:30:00Z,34.55048,-119.82429,FALSE,NA,3.1979166666666665,2013-05-27,147
Magic Fire,2013,149,Los Angeles,2013-05-28T11:30:00Z,2013-05-29T15:30:00Z,34.419284,-118.58688,FALSE,NA,1.1666666666666667,2013-05-28,148
Olive Fire,2013,170,Santa Barbara,2013-05-28T15:24:00Z,2013-05-29T10:30:00Z,34.611824,-120.074655,FALSE,NA,0.7958333333333333,2013-05-28,148
Powerhouse Fire,2013,30274,Los Angeles,2013-05-30T15:28:00Z,2013-06-08T18:30:00Z,34.585595,-118.423176,FALSE,NA,9.126388888888888,2013-05-30,150
Shelton Fire,2013,303,San Joaquin,2013-05-30T11:20:00Z,2013-05-30T13:25:00Z,38.04993,-120.90325,FALSE,NA,0.08680555555555555,2013-05-30,150
Branch Fire,2013,500,San Luis Obispo,2013-06-01T17:27:00Z,2013-06-03T18:30:00Z,35.15832,-120.05131,FALSE,NA,2.04375,2013-06-01,152
Murphy Fire,2013,100,Tuolumne,2013-06-02T13:30:00Z,2013-06-02T16:55:00Z,37.91529,-120.33313,FALSE,NA,0.1423611111111111,2013-06-02,153
Lone Fire,2013,298,Butte,2013-06-03T13:49:00Z,2013-06-03T20:00:00Z,39.434183,-121.576804,TRUE,NA,0.25763888888888886,2013-06-03,154
152 Fire,2013,124,Merced,2013-06-04T15:42:00Z,2013-06-05T08:30:00Z,37.03776,-121.006939,FALSE,NA,0.7,2013-06-04,155
Vasco Fire,2013,240,Alameda,2013-06-08T10:16:00Z,2013-06-08T13:25:00Z,37.775057,-121.737213,FALSE,NA,0.13125,2013-06-08,159
Viper Fire,2013,42,Riverside,2013-06-08T15:37:00Z,2013-06-08T19:00:00Z,33.96936,-117.1265,FALSE,NA,0.14097222222222222,2013-06-08,159
Hathaway Fire,2013,0,Riverside,2013-06-09T12:30:00Z,2013-06-09T16:45:00Z,33.99647,-116.84137,FALSE,NA,0.17708333333333334,2013-06-09,160
Sonoma-Lake-Napa Unit Lightning Fires,2013,28,Sonoma,2013-06-10T00:46:00Z,2013-06-14T15:45:00Z,38.4229,-122.0437,TRUE,NA,4.624305555555556,2013-06-10,161
Daves Fire,2013,226,Glenn,2013-06-12T15:17:00Z,2013-06-17T09:00:00Z,0,0,FALSE,NA,4.738194444444445,2013-06-12,163
Revis Fire,2013,75,Madera,2013-06-12T16:40:00Z,2013-06-14T16:30:00Z,37.169379,-119.75636,TRUE,221,1.9930555555555556,2013-06-12,163
Roadrunner Fire,2013,96,Amador,2013-06-12T16:43:00Z,2013-06-13T09:45:00Z,38.27783,-120.966016,FALSE,NA,0.7097222222222223,2013-06-12,163
Clinton Fire,2013,108,Fresno,2013-06-13T11:54:00Z,2013-06-13T21:30:00Z,36.772425,-119.628389,FALSE,NA,0.4,2013-06-13,164
Michelle Fire,2013,35,Fresno,2013-06-13T15:54:00Z,2013-06-13T21:30:00Z,36.763367,-119.558244,FALSE,NA,0.23333333333333334,2013-06-13,164
PFE Fire,2013,237,Placer,2013-06-13T11:28:00Z,2013-06-13T14:15:00Z,38.729297,-121.380862,FALSE,NA,0.11597222222222223,2013-06-13,164
Palmyrita Fire,2013,40,Riverside,2013-06-14T13:47:00Z,2013-06-15T08:00:00Z,34.001745,-117.302057,FALSE,NA,0.7590277777777777,2013-06-14,165
Carstens Fire,2013,1708,Mariposa,2013-06-16T14:12:00Z,2013-06-26T11:15:00Z,37.58202,-119.91071,TRUE,112,9.877083333333333,2013-06-16,167
Rolling Fire,2013,482,Madera,2013-06-16T18:17:00Z,2013-06-18T19:30:00Z,37.015575,-119.78106,TRUE,NA,2.0506944444444444,2013-06-16,167
California Fire,2013,124,Solano,2013-06-18T15:18:00Z,2013-06-18T22:30:00Z,38.08744,-122.13802,FALSE,NA,0.3,2013-06-18,169
Mount Fire,2013,25,Lake,2013-06-20T14:29:00Z,2013-06-20T13:15:00Z,38.98058,-122.81796,FALSE,NA,-0.05138888888888889,2013-06-20,171
George Fire,2013,150,Fresno,2013-06-25T13:36:00Z,2013-06-25T17:15:00Z,36.7218,-119.2248,FALSE,NA,0.15208333333333332,2013-06-25,176
Mills Fire,2013,534,San Bernardino,2013-06-28T14:30:00Z,2013-07-01T06:00:00Z,34.071556,-117.048397,TRUE,282,2.6458333333333335,2013-06-28,179
Freeman Fire,2013,105,Monterey,2013-06-29T14:09:00Z,2013-06-29T18:30:00Z,36.1531,-120.8973,FALSE,NA,0.18125,2013-06-29,180
Concord Fire,2013,274,Contra Costa,2013-07-01T15:41:00Z,2013-07-01T18:30:00Z,39.90465,-121.74367,FALSE,NA,0.11736111111111111,2013-07-01,182
Kirker Fire,2013,492,Contra Costa,2013-07-01T13:19:00Z,2013-07-01T18:40:00Z,37.96866,-121.91453,FALSE,NA,0.22291666666666668,2013-07-01,182
Fox Fire (formally 3-7 Fire),2013,502,Modoc,2013-07-03T22:56:00Z,2013-07-05T18:30:00Z,41.2415,-121.035,FALSE,NA,1.8152777777777778,2013-07-03,184
Grant Fire,2013,50,Alameda,2013-07-04T10:00:00Z,2013-07-04T11:30:00Z,37.7393,-121.5869,FALSE,NA,0.0625,2013-07-04,185
Vina Fire,2013,200,Tehama,2013-07-04T07:30:00Z,2013-07-04T10:30:00Z,40.012398,-122.079871,FALSE,NA,0.125,2013-07-04,185
Chariot Fire,2013,7055,San Diego,2013-07-06T12:55:00Z,2013-07-15T06:15:00Z,32.95435,-116.47381,TRUE,2147,8.722222222222221,2013-07-06,187
Fallon Fire,2013,38,Alameda,2013-07-06T13:09:00Z,2013-07-06T14:30:00Z,37.74241,-121.86216,FALSE,NA,0.05625,2013-07-06,187
Adelaida Fire,2013,85,San Luis Obispo,2013-07-07T13:16:00Z,2013-07-07T22:00:00Z,35.62743,-120.83417,FALSE,NA,0.3638888888888889,2013-07-07,188
Kyburz Fire,2013,572,El Dorado,2013-07-08T12:45:00Z,2013-07-11T18:30:00Z,38.774,-120.298,FALSE,NA,3.2395833333333335,2013-07-08,189
McGanney Fire,2013,73,Yuba,2013-07-08T09:59:00Z,2013-07-08T17:30:00Z,39.206,-121.31634,FALSE,NA,0.31319444444444444,2013-07-08,189
Fiddler Fire,2013,43,Shasta,2013-07-09T11:59:00Z,2013-07-09T15:00:00Z,40.373,-122.7338,FALSE,NA,0.12569444444444444,2013-07-09,190
Diablo Fire,2013,150,Stanislaus,2013-07-12T15:35:00Z,2013-07-13T21:45:00Z,37.436,-121.1955,FALSE,NA,1.2569444444444444,2013-07-12,193
Uvas Fire,2013,50,Santa Clara,2013-07-12T13:09:00Z,2013-07-12T17:45:00Z,37.1438,-121.7804,FALSE,NA,0.19166666666666668,2013-07-12,193
Mountain Fire,2013,27531,Riverside,2013-07-15T13:43:00Z,2013-07-30T18:00:00Z,33.7095,-116.72885,FALSE,NA,15.178472222222222,2013-07-15,196
Redlands Fire,2013,150,Riverside,2013-07-16T17:48:00Z,2013-07-17T07:45:00Z,33.990128,-117.164997,FALSE,NA,0.58125,2013-07-16,197
Tassajara Fire,2013,213,Monterey,2013-07-17T13:23:00Z,2013-07-17T19:30:00Z,0,0,FALSE,NA,0.2548611111111111,2013-07-17,198
50 Fire,2013,163,El Dorado,2013-07-19T14:12:00Z,2013-07-19T17:15:00Z,38.63987,-121.08438,FALSE,NA,0.12708333333333333,2013-07-19,200
Gilman Fire,2013,15,Riverside,2013-07-19T17:31:00Z,2013-07-19T19:30:00Z,33.94528,-117.09306,FALSE,NA,0.08263888888888889,2013-07-19,200
Heacock Fire,2013,40,Riverside,2013-07-19T16:21:00Z,2013-07-20T19:30:00Z,33.9634,-117.2508,FALSE,NA,1.13125,2013-07-19,200
Paskenta Fire,2013,195,Tehama,2013-07-19T13:32:00Z,2013-07-19T15:00:00Z,39.961309,-122.330879,FALSE,NA,0.06111111111111111,2013-07-19,200
Rancho Fire,2013,712,Kern,2013-07-19T12:00:00Z,2013-07-22T18:45:00Z,34.882,-118.9194,TRUE,502,3.28125,2013-07-19,200
Aspen Fire,2013,22992,Fresno,2013-07-22T22:15:00Z,2013-09-24T20:15:00Z,37.279,-119.318,FALSE,NA,63.916666666666664,2013-07-22,203
Chuckwagon Fire,2013,31,Calaveras,2013-07-22T12:34:00Z,2013-07-23T15:10:00Z,37.965364,-120.696362,FALSE,NA,1.1083333333333334,2013-07-22,203
Pratt Fire,2013,45,Mendocino,2013-07-23T13:29:00Z,2013-07-23T16:00:00Z,38.980846,-123.067671,FALSE,NA,0.10486111111111111,2013-07-23,204
Water Fire,2013,612,Kern,2013-07-23T09:15:00Z,2013-07-25T18:30:00Z,34.90327,-118.93388,FALSE,NA,2.3854166666666665,2013-07-23,204
Silverwood Fire,2013,75,San Bernardino,2013-07-25T15:09:00Z,2013-07-26T18:15:00Z,34.316,-117.352,FALSE,NA,1.1291666666666667,2013-07-25,206
Lakeville Fire,2013,158,Sonoma,2013-07-26T13:45:00Z,2013-07-26T17:45:00Z,38.17693,-122.51253,FALSE,NA,0.16666666666666666,2013-07-26,207
Flume Fire,2013,25,San Diego,2013-07-28T09:43:00Z,2013-07-28T17:50:00Z,32.612773,-116.707335,FALSE,NA,0.33819444444444446,2013-07-28,209
Salmon River Complex,2013,14754,Siskiyou,2013-07-31T22:00:00Z,2013-08-31T06:45:00Z,41.32,-123.176,FALSE,NA,30.364583333333332,2013-07-31,212
Trout Fire,2013,40,Siskiyou,2013-07-31T15:25:00Z,2013-07-31T19:25:00Z,0,0,FALSE,NA,0.16666666666666666,2013-07-31,212
Orleans Complex,2013,0,Humboldt,2013-08-03T08:00:00Z,2013-08-03T15:00:00Z,41.333,-123.376,FALSE,NA,0.2916666666666667,2013-08-03,215
Honey Fire,2013,34,Shasta,2013-08-04T18:00:00Z,2013-08-05T08:17:00Z,0,0,FALSE,NA,0.5951388888888889,2013-08-04,216
Relay Fire,2013,60,Riverside,2013-08-04T16:29:00Z,2013-08-04T18:00:00Z,33.91027,-116.99895,FALSE,NA,0.06319444444444444,2013-08-04,216
Falls Fire,2013,1383,Riverside,2013-08-05T10:10:00Z,2013-08-09T18:45:00Z,33.62236,-117.40288,FALSE,NA,4.357638888888889,2013-08-05,217
Power Fire,2013,1070,Tuolumne,2013-08-05T06:00:00Z,2013-08-14T08:30:00Z,38.25108,-120.02778,FALSE,NA,9.104166666666666,2013-08-05,217
Tram Fire,2013,60,Riverside,2013-08-06T13:39:00Z,2013-08-08T09:00:00Z,38.838,-116.61,FALSE,NA,1.80625,2013-08-06,218
Indian Fire,2013,38,Lake,2013-08-07T12:35:00Z,2013-08-07T18:30:00Z,39.1591,-122.5906,FALSE,NA,0.2465277777777778,2013-08-07,219
Silver Fire,2013,20292,Riverside,2013-08-07T14:05:00Z,2013-08-12T18:00:00Z,33.86157,-116.90427,TRUE,2106,5.163194444444445,2013-08-07,219
Sharp Fire,2013,243,San Bernardino,2013-08-08T12:15:00Z,2013-08-13T23:45:00Z,34.35,-117.62,FALSE,NA,5.479166666666667,2013-08-08,220
Bee Fire,2013,100,Los Angeles,2013-08-09T17:15:00Z,2013-08-11T19:15:00Z,0,0,FALSE,NA,2.0833333333333335,2013-08-09,221
Coyote Fire,2013,97,Lassen,2013-08-09T15:51:00Z,2013-08-12T09:30:00Z,40.88886,-120.958126,FALSE,NA,2.7354166666666666,2013-08-09,221
American Fire,2013,27440,Placer,2013-08-10T16:30:00Z,2013-08-30T08:00:00Z,39.12,-120.65,FALSE,NA,19.645833333333332,2013-08-10,222
Corral Complex,2013,12503,Humboldt,2013-08-10T11:40:00Z,2013-08-12T12:00:00Z,41.035,-123.488,FALSE,NA,2.013888888888889,2013-08-10,222
Cloverdale Fire,2013,27,Shasta,2013-08-14T15:37:00Z,2013-08-14T20:35:00Z,40.473356,-122.48259,FALSE,NA,0.20694444444444443,2013-08-14,226
Cottonwood Fire,2013,50,Siskiyou,2013-08-15T14:40:00Z,2013-08-15T17:00:00Z,41.923323,-122.578393,FALSE,NA,0.09722222222222222,2013-08-15,227
Double Fire,2013,70,Lake,2013-08-16T17:57:00Z,2013-08-18T18:30:00Z,39.013682,-122.491894,TRUE,NA,2.0229166666666667,2013-08-16,228
Pierce Fire,2013,40,Riverside,2013-08-16T13:31:00Z,2013-08-16T21:00:00Z,33.570291,-116.10815,FALSE,NA,0.31180555555555556,2013-08-16,228
Swedes Fire,2013,2462,Butte,2013-08-16T16:37:00Z,2013-08-22T18:00:00Z,39.446268,-121.38236,TRUE,1484,6.057638888888889,2013-08-16,228
Union Fire,2013,116,El Dorado,2013-08-16T13:55:00Z,2013-08-16T17:55:00Z,38.682378,-120.839075,TRUE,NA,0.16666666666666666,2013-08-16,228
Bridges Fire,2013,46,Calaveras,2013-08-17T10:11:00Z,2013-08-19T07:10:00Z,38.06231,-120.45233,TRUE,169,1.8743055555555554,2013-08-17,229
Cleghorn Fire,2013,110,San Bernardino,2013-08-17T17:25:00Z,2013-08-18T20:55:00Z,34.287,-117.451,FALSE,NA,1.1458333333333333,2013-08-17,229
Rim Fire,2013,257314,Tuolumne,2013-08-17T15:25:00Z,2013-09-06T18:30:00Z,37.857,-120.086,FALSE,NA,20.12847222222222,2013-08-17,229
Plumas Lightning Complex (Hough),2013,513,Plumas,2013-08-18T18:30:00Z,2013-08-25T13:15:00Z,40.00842,-120.764666,FALSE,NA,6.78125,2013-08-18,230
Shirley Fire,2013,794,Kern,2013-08-18T23:12:00Z,2013-08-24T13:45:00Z,35.707,-118.588,FALSE,NA,5.60625,2013-08-18,230
Burney Lightning Series (Warner Fire),2013,196,Shasta,2013-08-19T17:48:00Z,2013-08-23T19:15:00Z,40.5445,-121.3754,TRUE,347,4.060416666666667,2013-08-19,231
Gobblers Fire,2013,413,San Bernardino,2013-08-20T13:32:00Z,2013-08-20T13:32:00Z,34.302,-117.598,FALSE,NA,0,2013-08-20,232
Deer Fire,2013,11429,Tehama,2013-08-23T14:15:00Z,2013-08-29T16:45:00Z,40.04263,-121.85397,TRUE,898,6.104166666666667,2013-08-23,235
Empire Fire,2013,38,El Dorado,2013-08-24T14:54:00Z,2013-08-24T11:45:00Z,38.89555,-120.84716,FALSE,NA,-0.13125,2013-08-24,236
Fish Fire,2013,2060,Tulare,2013-08-24T14:31:00Z,2013-09-24T20:15:00Z,36.208,-118.444,FALSE,NA,31.238888888888887,2013-08-24,236
Little Fire,2013,97,San Bernardino,2013-08-24T15:09:00Z,2013-08-30T08:00:00Z,33.642,-116.706,FALSE,NA,5.702083333333333,2013-08-24,236
Centerville Fire,2013,80,Butte,2013-08-31T17:23:00Z,2013-09-01T18:00:00Z,39.731878,-121.713938,TRUE,35,1.0256944444444445,2013-08-31,243
Tyler Fire,2013,52,Nevada,2013-08-31T14:42:00Z,2013-08-31T21:30:00Z,39.333401,-121.107022,FALSE,NA,0.2833333333333333,2013-08-31,243
Davis Creek Complex,2013,97,Modoc,2013-09-05T15:57:00Z,2013-09-24T20:15:00Z,41.73325,-120.375,FALSE,NA,19.179166666666667,2013-09-05,248
Chestnut Fire,2013,41,San Mateo,2013-09-07T13:55:00Z,2013-09-07T20:00:00Z,37.667295,-122.427285,FALSE,NA,0.2534722222222222,2013-09-07,250
Rail Fire,2013,68,Modoc,2013-09-07T17:30:00Z,2013-09-05T21:00:00Z,41.569,-120.959,FALSE,NA,-1.8541666666666667,2013-09-07,250
Angora Fire,2013,134,Tulare,2013-09-08T11:53:00Z,2013-09-24T20:15:00Z,36.258,-118.459,FALSE,NA,16.34861111111111,2013-09-08,251
Morgan Fire,2013,3111,Contra Costa,2013-09-08T13:08:00Z,2013-09-14T17:30:00Z,37.90757,-121.882582,TRUE,231,6.1819444444444445,2013-09-08,251
Clover Fire,2013,8073,Shasta,2013-09-09T12:32:00Z,2013-09-15T07:30:00Z,40.498332,-122.535496,TRUE,342,5.790277777777778,2013-09-09,252
Lyon Fire,2013,263,San Diego,2013-09-09T13:09:00Z,2013-09-12T18:15:00Z,32.710918,-116.746023,TRUE,294,3.2125,2013-09-09,252
Liveoak Fire,2013,73,San Bernardino,2013-09-11T16:57:00Z,2013-09-12T08:45:00Z,34.003151,-117.106075,FALSE,NA,0.6583333333333333,2013-09-11,254
Lakeshore Fire,2013,30,Lake,2013-09-15T19:45:00Z,2013-09-15T17:14:00Z,38.9777,-122.683,TRUE,NA,-0.10486111111111111,2013-09-15,258
Tehama Fire,2013,75,Tehama,2013-09-15T17:39:00Z,2013-09-15T19:00:00Z,0,0,FALSE,NA,0.05625,2013-09-15,258
Madre Fire,2013,268,Los Angeles,2013-09-23T18:00:00Z,2013-09-28T08:00:00Z,34.149,-117.908,FALSE,NA,4.583333333333333,2013-09-23,266
Creek Fire,2013,94,San Luis Obispo,2013-09-24T03:20:00Z,2013-09-24T17:30:00Z,35.4393,-120.8358,FALSE,NA,0.5902777777777778,2013-09-24,267
Sierra Fire,2013,200,San Bernardino,2013-09-24T15:51:00Z,2013-09-30T08:30:00Z,34.2,-117.417,FALSE,NA,5.69375,2013-09-24,267
Valley Fire,2013,40,San Diego,2013-09-26T17:29:00Z,2013-09-28T09:15:00Z,0,0,FALSE,NA,1.6569444444444446,2013-09-26,269
Putah Fire,2013,376,Napa,2013-10-03T20:33:00Z,2013-10-04T16:55:00Z,38.628,-122.289,TRUE,4,0.8486111111111111,2013-10-03,276
Crane Fire,2013,159,Sonoma,2013-10-04T12:25:00Z,2013-10-05T07:45:00Z,38.34599,-122.6503,FALSE,NA,0.8055555555555556,2013-10-04,277
Highland Fire,2013,150,Alameda,2013-10-04T07:35:00Z,2013-10-04T10:30:00Z,0,0,FALSE,NA,0.12152777777777778,2013-10-04,277
DeLuz Fire,2013,2236,San Diego,2013-10-05T12:45:00Z,2013-10-09T19:00:00Z,33.341,-117.3092,FALSE,NA,4.260416666666667,2013-10-05,278
Baker Fire,2013,40,Orange,2013-10-06T10:52:00Z,2013-10-09T08:00:00Z,33.7655,-117.6649,FALSE,NA,2.8805555555555555,2013-10-06,279
Capay Fire,2013,163,Yolo,2013-11-04T11:41:00Z,2013-11-04T15:35:00Z,38.67479,-122.08725,FALSE,NA,0.1625,2013-11-04,308
Dersch Fire,2013,33,Shasta,2013-11-07T16:10:00Z,2013-11-07T19:45:00Z,40.483662,-122.140914,FALSE,NA,0.14930555555555555,2013-11-07,311
Cantwell Fire,2013,120,Lake,2013-11-08T13:42:00Z,2013-11-10T18:30:00Z,38.882214,-122.567525,TRUE,285,2.2,2013-11-08,312
Toro Fire,2013,51,San Luis Obispo,2013-11-08T10:30:00Z,2013-11-09T17:00:00Z,35.457978,-120.751555,TRUE,219,1.2708333333333333,2013-11-08,312
Wheeler Fire,2013,64,Ventura,2013-11-14T11:05:00Z,2013-11-15T16:00:00Z,34.384,-119.13249,FALSE,NA,1.2048611111111112,2013-11-14,318
Silverado Fire,2013,190,Napa,2013-11-21T21:39:00Z,2013-11-23T18:30:00Z,38.382,-122.311,TRUE,150,1.86875,2013-11-21,325
McCabe Fire,2013,3505,Sonoma,2013-11-22T02:04:00Z,2013-11-27T18:15:00Z,38.8167,-122.8498,TRUE,188,5.674305555555556,2013-11-22,326
Retek Fire,2013,82,Mendocino,2013-11-22T10:06:00Z,2013-11-22T17:30:00Z,39.0442,-123.1478,FALSE,NA,0.30833333333333335,2013-11-22,326
Bruner Fire,2013,50,Lake,2013-11-23T12:04:00Z,2013-11-24T08:45:00Z,39.0448,-122.7656,FALSE,NA,0.8618055555555556,2013-11-23,327
Dam Fire,2013,23,Lake,2013-11-23T14:17:00Z,2013-11-24T18:45:00Z,38.9289,-122.5818,FALSE,NA,1.1861111111111111,2013-11-23,327
Happy Camp Fire,2013,44,Ventura,2013-12-10T02:26:00Z,2013-12-11T17:30:00Z,0,0,FALSE,NA,1.6277777777777778,2013-12-10,344
Pfeiffer Fire,2013,917,Monterey,2013-12-16T00:20:00Z,2013-12-20T20:00:00Z,0,0,FALSE,NA,4.819444444444445,2013-12-16,350
Refuse Fire,2013,15,Mendocino,2013-12-30T11:00:00Z,2013-12-30T20:30:00Z,0,0,FALSE,NA,0.3958333333333333,2013-12-30,364
Honcut Fire,2014,60,Butte,2014-01-01T10:46:00Z,2014-01-02T07:30:00Z,0,0,FALSE,NA,0.8638888888888889,2014-01-01,1
Campbell Fire,2014,865,Tehama,2014-01-02T20:00:00Z,2014-01-10T18:30:00Z,40.134597,-121.790183,FALSE,NA,7.9375,2014-01-02,2
Red Fire,2014,333,Humboldt,2014-01-04T12:00:00Z,2014-01-08T19:15:00Z,40.884415,-123.773779,FALSE,NA,4.302083333333333,2014-01-04,4
Colby Fire,2014,1952,Los Angeles,2014-01-16T05:50:00Z,2014-01-27T10:00:00Z,34.1703,-117.8816,FALSE,NA,11.17361111111111,2014-01-16,16
Brewer Fire,2014,120,Placer,2014-01-22T13:10:00Z,2014-01-22T16:35:00Z,0,0,FALSE,NA,0.1423611111111111,2014-01-22,22
Gun Fire,2014,125,San Diego,2014-03-08T12:30:00Z,2014-03-11T11:00:00Z,32.81,-116.49,FALSE,NA,2.9375,2014-03-08,67
Encinal Fire,2014,400,Monterey,2014-03-19T16:45:00Z,2014-03-21T18:00:00Z,36.6313,-121.4819,TRUE,NA,2.0520833333333335,2014-03-19,78
Van Buren Fire,2014,57,Riverside,2014-03-28T14:31:00Z,2014-03-29T17:15:00Z,33.5982,-116.1985,FALSE,NA,1.113888888888889,2014-03-28,87
Etiwanda Fire,2014,2143,San Bernardino,2014-04-30T08:00:00Z,2014-05-05T17:30:00Z,34.169346,-117.547374,TRUE,583,5.395833333333333,2014-04-30,120
San Lucas Fire,2014,75,Monterey,2014-04-30T14:25:00Z,2014-05-01T19:00:00Z,36.103,-121.117,FALSE,NA,1.1909722222222223,2014-04-30,120
Jacumba Fire,2014,29,San Diego,2014-05-05T16:36:00Z,2014-05-06T10:20:00Z,32.665,-116.222,FALSE,NA,0.7388888888888889,2014-05-05,125
Bernardo Fire,2014,1548,San Diego,2014-05-13T11:00:00Z,2014-05-17T20:14:00Z,33.003,-117.133,TRUE,211,4.384722222222222,2014-05-13,133
Miguelito Fire,2014,632,Santa Barbara,2014-05-13T14:00:00Z,2014-05-19T09:20:00Z,34.609,-120.454,TRUE,548,5.805555555555555,2014-05-13,133
Cocos Fire,2014,1995,San Diego,2014-05-14T16:00:00Z,2014-05-22T18:15:00Z,33.1137,-117.1599,TRUE,514,8.09375,2014-05-14,134
Freeway Fire,2014,56,San Diego,2014-05-14T17:43:00Z,2014-05-20T11:30:00Z,0,0,FALSE,NA,5.740972222222222,2014-05-14,134
Highway Fire,2014,380,San Diego,2014-05-14T13:00:00Z,2014-05-15T18:30:00Z,33.312,-117.162,TRUE,NA,1.2291666666666667,2014-05-14,134
Poinsettia Fire,2014,600,San Diego,2014-05-14T10:30:00Z,2014-05-17T00:00:00Z,33.1109,-117.279,FALSE,NA,2.5625,2014-05-14,134
