name,attribute,class,type,ban_tcg,ban_ocg
Absolute Crusader,EARTH,Warrior,Effect Monster,NA,NA
Absolute End,NA,Normal,Trap Card,NA,NA
Absolute King Back Jack,DARK,Fiend,Effect Monster,NA,NA
Absorb Fusion,NA,Normal,Spell Card,NA,NA
Absorbing Jar,EARTH,Rock,Flip Effect Monster,NA,NA
Absorbing Kid from the Sky,LIGHT,Fairy,Effect Monster,NA,NA
Absorouter Dragon,DARK,Dragon,Effect Monster,NA,NA
Abyss Actor - Comic Relief,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Curtain Raiser,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Evil Heel,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Extras,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Funky Comedian,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Hyper Director,DARK,Fiend,Link Monster,NA,NA
Abyss Actor - Leading Lady,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Mellow Madonna,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Sassy Rookie,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Superstar,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Trendy Understudy,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Twinkle Little Star,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Wild Hope,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actors Back Stage,NA,Normal,Trap Card,NA,NA
Abyss Actors' Curtain Call,NA,Normal,Trap Card,NA,NA
Abyss Dweller,WATER,Sea Serpent,XYZ Monster,NA,NA
Abyss Flower,EARTH,Plant,Normal Monster,NA,NA
Abyss Playhouse - Fantastic Theater,NA,Field,Spell Card,NA,NA
Abyss Prop - Wild Wagon,NA,Continuous,Spell Card,NA,NA
Abyss Script - Abysstainment,NA,Continuous,Spell Card,NA,NA
Abyss Script - Fantasy Magic,NA,Normal,Spell Card,NA,NA
Abyss Script - Fire Dragon's Lair,NA,Normal,Spell Card,NA,NA
Abyss Script - Opening Ceremony,NA,Normal,Spell Card,NA,NA
Abyss Script - Rise of the Abyss King,NA,Normal,Spell Card,NA,NA
Abyss Script - Romantic Terror,NA,Quick-Play,Spell Card,NA,NA
Abyss Soldier,WATER,Aqua,Effect Monster,NA,NA
Abyss Stungray,NA,Continuous,Trap Card,NA,NA
Abyss Warrior,WATER,Aqua,Effect Monster,NA,NA
Abyss-scale of Cetus,NA,Equip,Spell Card,NA,NA
Abyss-scale of the Kraken,NA,Equip,Spell Card,NA,NA
Abyss-scale of the Mizuchi,NA,Equip,Spell Card,NA,NA
Abyss-scorn,NA,Normal,Trap Card,NA,NA
Abyss-sphere,NA,Continuous,Trap Card,NA,NA
Abyss-squall,NA,Normal,Trap Card,NA,NA
Abyss-strom,NA,Normal,Trap Card,NA,NA
Abyssal Designator,NA,Normal,Spell Card,NA,NA
Abyssal Kingshark,WATER,Fish,Effect Monster,NA,NA
Accel Synchron,DARK,Machine,Synchro Tuner Monster,NA,NA
Accellight,NA,Normal,Spell Card,NA,NA
Accesscode Talker,DARK,Cyberse,Link Monster,NA,NA
Accumulated Fortune,NA,Normal,Trap Card,NA,NA
Achacha Archer,FIRE,Warrior,Effect Monster,NA,NA
Achacha Chanbara,FIRE,Warrior,Effect Monster,NA,NA
Achichi @Ignister,FIRE,Cyberse,Effect Monster,NA,NA
Acid Crawler,EARTH,Insect,Normal Monster,NA,NA
Acid Rain,NA,Normal,Spell Card,NA,NA
Acid Trap Hole,NA,Normal,Trap Card,NA,NA
Acidic Downpour,NA,Field,Spell Card,NA,NA
Acorno,EARTH,Plant,Effect Monster,NA,NA
Acrobat Monkey,EARTH,Machine,Normal Monster,NA,NA
Acrobatic Magician,DARK,Spellcaster,Pendulum Effect Monster,NA,NA
Action Magic - Double Banking,NA,Quick-Play,Spell Card,NA,NA
Action Magic - Full Turn,NA,Quick-Play,Spell Card,NA,NA
Adamancipator Analyzer,EARTH,Rock,Tuner Monster,NA,NA
Adamancipator Crystal - Dragite,WATER,Rock,Effect Monster,NA,NA
Adamancipator Crystal - Leonite,FIRE,Rock,Effect Monster,NA,NA
Adamancipator Crystal - Raptite,WIND,Rock,Effect Monster,NA,NA
Adamancipator Friends,NA,Normal,Spell Card,NA,NA
Adamancipator Laputite,NA,Field,Spell Card,NA,NA
Adamancipator Relief,NA,Normal,Trap Card,NA,NA
Adamancipator Researcher,EARTH,Rock,Tuner Monster,NA,NA
Adamancipator Resonance,NA,Counter,Trap Card,NA,NA
Adamancipator Risen - Dragite,WATER,Rock,Synchro Monster,NA,NA
Adamancipator Risen - Leonite,FIRE,Rock,Synchro Monster,NA,NA
Adamancipator Risen - Raptite,WIND,Rock,Synchro Monster,NA,NA
Adamancipator Seeker,EARTH,Rock,Tuner Monster,NA,NA
Adamancipator Signs,NA,Normal,Spell Card,NA,NA
Adhesion Trap Hole,NA,Normal,Trap Card,NA,NA
Adhesive Explosive,WIND,Machine,Effect Monster,NA,NA
"Adreus, Keeper of Armageddon",DARK,Fiend,XYZ Monster,NA,NA
Advance Draw,NA,Normal,Spell Card,NA,NA
Advance Force,NA,Continuous,Spell Card,NA,NA
Advance Zone,NA,Continuous,Spell Card,NA,NA
Advanced Dark,NA,Field,Spell Card,NA,NA
Advanced Heraldry Art,NA,Normal,Spell Card,NA,NA
Advanced Ritual Art,NA,Ritual,Spell Card,NA,NA
Aegaion the Sea Castrum,WATER,Machine,XYZ Monster,NA,NA
Aegis of Gaia,NA,Continuous,Trap Card,NA,NA
Aegis of the Ocean Dragon Lord,NA,Normal,Trap Card,NA,NA
Aerial Recharge,NA,Continuous,Trap Card,NA,NA
"Aether, the Empowering Dragon",LIGHT,Dragon,Effect Monster,NA,NA
"Aether, the Evil Empowering Dragon",DARK,Dragon,Pendulum Effect Monster,NA,NA
After the Storm,NA,Normal,Spell Card,NA,NA
After The Struggle,NA,Normal,Spell Card,NA,NA
Afterglow,NA,Normal,Spell Card,NA,NA
Against the Wind,NA,Normal,Spell Card,NA,NA
Agave Dragon,EARTH,Wyrm,Link Monster,NA,NA
Agido,EARTH,Fairy,Effect Monster,NA,NA
"Ahrima, the Wicked Warden",DARK,Fiend,Effect Monster,NA,NA
Air Armor Ninja,WIND,Warrior,Effect Monster,NA,NA
Air Cracking Storm,NA,Equip,Spell Card,NA,NA
Air Eater,WIND,Fiend,Normal Monster,NA,NA
Airknight Parshath,LIGHT,Fairy,Effect Monster,NA,NA
Airorca,WIND,Sea Serpent,Effect Monster,NA,NA
Aitsu,FIRE,Fairy,Normal Monster,NA,NA
"Aiwass, the Magistus Spell Spirit",WIND,Fiend,Fusion Monster,NA,NA
Akakieisu,DARK,Spellcaster,Normal Monster,NA,NA
Akashic Magician,DARK,Spellcaster,Link Monster,NA,NA
Akihiron,WATER,Aqua,Normal Monster,NA,NA
"Akz, the Pumer",EARTH,Beast-Warrior,Effect Monster,NA,NA
Al-Lumi'raj,WIND,Wyrm,Tuner Monster,NA,NA
Albion the Stigmatika Dragon,DARK,Dragon,Fusion Monster,NA,NA
Alchemic Magician,DARK,Spellcaster,XYZ Monster,NA,NA
Alchemist of Black Spells,WIND,Spellcaster,Effect Monster,NA,NA
Alchemy Cycle,NA,Normal,Trap Card,NA,NA
"Alector, Sovereign of Birds",WIND,Winged Beast,Effect Monster,NA,NA
Aleister the Invoker,DARK,Spellcaster,Effect Monster,NA,NA
Aleister the Invoker of Madness,DARK,Spellcaster,Link Monster,NA,NA
"Aleth, Dusk of the Abhyss",DARK,Reptile,Effect Monster,NA,NA
Alexandrite Dragon,LIGHT,Dragon,Normal Monster,NA,NA
"Alich, Malebranche of the Burning Abyss",DARK,Fiend,Effect Monster,NA,NA
Alien Ammonite,LIGHT,Reptile,Tuner Monster,NA,NA
Alien Brain,NA,Normal,Trap Card,NA,NA
Alien Dog,LIGHT,Reptile,Effect Monster,NA,NA
Alien Grey,LIGHT,Reptile,Flip Effect Monster,NA,NA
Alien Hunter,WATER,Reptile,Effect Monster,NA,NA
Alien Hypno,WATER,Reptile,Gemini Monster,NA,NA
Alien Infiltrator,EARTH,Reptile,Effect Monster,NA,NA
Alien Kid,LIGHT,Reptile,Effect Monster,NA,NA
Alien Mars,FIRE,Reptile,Effect Monster,NA,NA
Alien Mother,DARK,Reptile,Effect Monster,NA,NA
Alien Overlord,DARK,Reptile,Effect Monster,NA,NA
Alien Psychic,DARK,Reptile,Effect Monster,NA,NA
Alien Shocktrooper,EARTH,Reptile,Normal Monster,NA,NA
Alien Shocktrooper M-Frame,LIGHT,Reptile,Link Monster,NA,NA
Alien Skull,WIND,Reptile,Effect Monster,NA,NA
Alien Telepath,FIRE,Reptile,Effect Monster,NA,NA
Alien Warrior,EARTH,Reptile,Effect Monster,NA,NA
Alinsection,EARTH,Insect,Normal Monster,NA,NA
All-Eyes Phantom Dragon,LIGHT,Dragon,Pendulum Effect Monster,NA,NA
All-Out Attacks,NA,Continuous,Trap Card,NA,NA
Alligator's Sword,EARTH,Beast,Normal Monster,NA,NA
Alligator's Sword Dragon,WIND,Dragon,Fusion Monster,NA,NA
Allure of Darkness,NA,Normal,Spell Card,NA,NA
Allure Queen LV3,DARK,Spellcaster,Effect Monster,NA,NA
Allure Queen LV5,DARK,Spellcaster,Effect Monster,NA,NA
Allure Queen LV7,DARK,Spellcaster,Effect Monster,NA,NA
Alluring Mirror Split,NA,Continuous,Spell Card,NA,NA
Ally Mind,DARK,Machine,Normal Tuner Monster,NA,NA
Ally of Justice Catastor,DARK,Machine,Synchro Monster,NA,NA
Ally of Justice Clausolas,DARK,Machine,Normal Monster,NA,NA
Ally of Justice Core Destroyer,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Cosmic Gateway,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Cycle Reader,DARK,Machine,Tuner Monster,NA,NA
Ally of Justice Cyclone Creator,DARK,Machine,Tuner Monster,NA,NA
Ally of Justice Decisive Armor,DARK,Machine,Synchro Monster,NA,NA
Ally of Justice Enemy Catcher,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Field Marshal,DARK,Machine,Synchro Monster,NA,NA
Ally of Justice Garadholg,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Light Gazer,DARK,Machine,Synchro Monster,NA,NA
Ally of Justice Nullfier,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Omni-Weapon,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Quarantine,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Reverse Break,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Rudra,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Searcher,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Thousand Arms,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Thunder Armor,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Unknown Crusher,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Unlimiter,DARK,Machine,Effect Monster,NA,NA
Ally Salvo,DARK,Machine,Effect Monster,NA,NA
Aloof Lupine,DARK,Beast,Effect Monster,NA,NA
"Alpacaribou, Mystical Beast of the Forest",EARTH,Beast,Effect Monster,NA,NA
Alpha The Electromagnet Warrior,EARTH,Rock,Effect Monster,NA,NA
Alpha the Magnet Warrior,EARTH,Rock,Normal Monster,NA,NA
"Alpha, the Master of Beasts",EARTH,Beast,Effect Monster,NA,NA
"Alsei, the Sylvan High Protector",LIGHT,Plant,XYZ Monster,NA,NA
Altar for Tribute,NA,Normal,Trap Card,NA,NA
Altergeist Camouflage,NA,Normal,Trap Card,NA,NA
Altergeist Dragvirion,DARK,Spellcaster,Synchro Monster,NA,NA
Altergeist Emulatelf,NA,Continuous,Trap Card,NA,NA
Altergeist Failover,NA,Continuous,Trap Card,NA,NA
Altergeist Fifinellag,DARK,Spellcaster,Tuner Monster,NA,NA
Altergeist Fijialert,WATER,Spellcaster,Effect Monster,NA,NA
Altergeist Haunted Rock,NA,Continuous,Trap Card,NA,NA
Altergeist Hexstia,FIRE,Spellcaster,Link Monster,NA,NA
Altergeist Kidolga,DARK,Spellcaster,Link Monster,NA,NA
Altergeist Kunquery,EARTH,Spellcaster,Effect Monster,NA,NA
Altergeist Manifestation,NA,Normal,Trap Card,NA,NA
Altergeist Marionetter,LIGHT,Spellcaster,Effect Monster,NA,NA
Altergeist Meluseek,WATER,Spellcaster,Effect Monster,NA,NA
Altergeist Memorygant,DARK,Spellcaster,Link Monster,NA,NA
Altergeist Multifaker,DARK,Spellcaster,Effect Monster,NA,Limited
Altergeist Pixiel,WIND,Spellcaster,Effect Monster,NA,NA
Altergeist Pookuery,DARK,Spellcaster,Effect Monster,NA,NA
Altergeist Primebanshee,DARK,Spellcaster,Link Monster,NA,NA
Altergeist Protocol,NA,Continuous,Trap Card,NA,NA
Altergeist Silquitous,WIND,Spellcaster,Effect Monster,NA,NA
Altitude Knight,WIND,Warrior,Effect Monster,NA,NA
Alviss of the Nordic Alfar,DARK,Spellcaster,Effect Monster,NA,NA
Amabie,WATER,Fairy,Effect Monster,NA,NA
Amano-Iwato,EARTH,Rock,Spirit Monster,NA,NA
Amanokujaki,LIGHT,Fiend,Tuner Monster,NA,NA
Amarylease,EARTH,Plant,Effect Monster,NA,NA
Amaterasu,LIGHT,Fairy,Spirit Monster,NA,NA
Amatsu-Okami of the Divine Peaks,LIGHT,Dragon,Link Monster,NA,NA
Amaze Ɐttraction Cyclone Coaster,NA,Normal,Trap Card,NA,NA
Amaze Ɐttraction Horror House,NA,Normal,Trap Card,NA,NA
Amaze Ɐttraction Majestic Manège,NA,Normal,Trap Card,NA,NA
Amaze Ɐttraction Rapid Racing,NA,Normal,Trap Card,NA,NA
Amaze Ɐttraction Vanquish Viking,NA,Normal,Trap Card,NA,NA
Amaze Ɐttraction Wonder Wheel,NA,Normal,Trap Card,NA,NA
Amazement Administrator (Ɐrlechino),DARK,Psychic,Effect Monster,NA,NA
Amazement Ambassador (Bufo),EARTH,Beast,Effect Monster,NA,NA
Amazement Assistant (Delia),LIGHT,Machine,Effect Monster,NA,NA
Amazement Attendant (Comica),LIGHT,Machine,Effect Monster,NA,NA
Amazement Family Face,NA,Normal,Trap Card,NA,NA
Amazement Precious Park,NA,Field,Spell Card,NA,NA
Amazement Special Show,NA,Quick-Play,Spell Card,NA,NA
Amazing Pendulum,NA,Normal,Spell Card,NA,NA
Amazing Time Ticket,NA,Quick-Play,Spell Card,NA,NA
Amazon of the Seas,WATER,Fish,Normal Monster,NA,NA
Amazoness Archer,EARTH,Warrior,Effect Monster,NA,Banned
Amazoness Archers,NA,Normal,Trap Card,NA,NA
Amazoness Baby Tiger,EARTH,Beast,Effect Monster,NA,NA
Amazoness Blowpiper,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Call,NA,Quick-Play,Spell Card,NA,NA
Amazoness Chain Master,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Empress,EARTH,Warrior,Fusion Monster,NA,NA
Amazoness Fighter,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Fighting Spirit,NA,Continuous,Spell Card,NA,NA
Amazoness Heirloom,NA,Equip,Spell Card,NA,NA
Amazoness Onslaught,NA,Continuous,Trap Card,NA,NA
Amazoness Paladin,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Pet Liger,EARTH,Beast,Fusion Monster,NA,NA
Amazoness Princess,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Queen,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Sage,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Scouts,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Shamanism,NA,Normal,Trap Card,NA,NA
Amazoness Spellcaster,NA,Normal,Spell Card,NA,NA
Amazoness Spy,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Swords Woman,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Tiger,EARTH,Beast,Effect Monster,NA,NA
Amazoness Trainee,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Village,NA,Field,Spell Card,NA,NA
Amazoness Willpower,NA,Continuous,Trap Card,NA,NA
Ambitious Gofer,DARK,Fiend,Effect Monster,NA,NA
Ambulance Rescueroid,FIRE,Machine,Fusion Monster,NA,NA
Ambulanceroid,EARTH,Machine,Effect Monster,NA,NA
Ambush Fangs,NA,Normal,Trap Card,NA,NA
Ameba,WATER,Aqua,Effect Monster,NA,NA
Amores of Prophecy,EARTH,Spellcaster,Effect Monster,NA,NA
"Amorphactor Pain, the Imagination Dracoverlord",EARTH,Dragon,Ritual Effect Monster,NA,NA
Amorphage Envy,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Gluttony,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Goliath,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Greed,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Infection,NA,Continuous,Spell Card,NA,NA
Amorphage Lechery,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Lysis,NA,Continuous,Trap Card,NA,NA
Amorphage Pride,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Sloth,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Wrath,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphous Persona,NA,Field,Spell Card,NA,NA
Amphibian Beast,WATER,Fish,Normal Monster,NA,NA
Amphibious Bugroth,WATER,Aqua,Fusion Monster,NA,NA
Amphibious Bugroth MK-3,WATER,Machine,Effect Monster,NA,NA
Amphibious Swarmship Amblowhale,FIRE,Machine,Link Monster,NA,NA
Amplifier,NA,Equip,Spell Card,NA,NA
Amulet Dragon,DARK,Dragon,Fusion Monster,NA,NA
Amulet of Ambition,NA,Equip,Spell Card,NA,NA
"Amunesia, Queen of the Abhyss",DARK,Reptile,Effect Monster,NA,NA
An Owl of Luck,WIND,Winged Beast,Flip Effect Monster,NA,NA
An Unfortunate Report,NA,Normal,Trap Card,NA,NA
Anarchist Monk Ranshin,EARTH,Spellcaster,Effect Monster,NA,NA
Ancient Brain,DARK,Fiend,Normal Monster,NA,NA
Ancient Chant,NA,Normal,Spell Card,NA,NA
Ancient City - Rainbow Ruins,NA,Field,Spell Card,NA,NA
Ancient Crimson Ape,LIGHT,Beast,Effect Monster,NA,NA
Ancient Dragon,LIGHT,Dragon,Effect Monster,NA,NA
Ancient Elf,LIGHT,Spellcaster,Normal Monster,NA,NA
Ancient Fairy Dragon,LIGHT,Dragon,Synchro Monster,Banned,Banned
Ancient Flamvell Deity,FIRE,Pyro,Synchro Monster,NA,NA
Ancient Forest,NA,Field,Spell Card,NA,NA
Ancient Gear,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Ballista,EARTH,Machine,Link Monster,NA,NA
Ancient Gear Beast,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Box,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Cannon,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Castle,NA,Continuous,Spell Card,NA,NA
Ancient Gear Catapult,NA,Normal,Spell Card,NA,NA
Ancient Gear Drill,NA,Normal,Spell Card,NA,NA
Ancient Gear Engineer,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Explosive,NA,Normal,Spell Card,NA,NA
Ancient Gear Factory,NA,Normal,Spell Card,NA,NA
Ancient Gear Fist,NA,Equip,Spell Card,NA,NA
Ancient Gear Fortress,NA,Continuous,Spell Card,NA,NA
Ancient Gear Frame,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Fusion,NA,Normal,Spell Card,NA,NA
Ancient Gear Gadget,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Gadjiltron Chimera,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Gadjiltron Dragon,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Golem,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Golem - Ultimate Pound,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Howitzer,EARTH,Machine,Fusion Monster,NA,NA
Ancient Gear Hunting Hound,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Hydra,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Knight,EARTH,Machine,Gemini Monster,NA,NA
Ancient Gear Megaton Golem,EARTH,Machine,Fusion Monster,NA,NA
Ancient Gear Reactor Dragon,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Reborn,NA,Continuous,Trap Card,NA,NA
Ancient Gear Soldier,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Tank,NA,Equip,Spell Card,NA,NA
Ancient Gear Token,EARTH,Machine,Token,NA,NA
Ancient Gear Workshop,NA,Normal,Spell Card,NA,NA
Ancient Gear Wyvern,EARTH,Machine,Effect Monster,NA,NA
Ancient Jar,EARTH,Rock,Normal Monster,NA,NA
Ancient Lamp,WIND,Spellcaster,Effect Monster,NA,NA
Ancient Leaf,NA,Normal,Spell Card,NA,NA
Ancient Lizard Warrior,EARTH,Reptile,Normal Monster,NA,NA
Ancient One of the Deep Forest,EARTH,Beast,Normal Monster,NA,NA
Ancient Pixie Dragon,DARK,Dragon,Synchro Monster,NA,NA
Ancient Rules,NA,Normal,Spell Card,NA,NA
Ancient Sacred Wyvern,LIGHT,Fairy,Synchro Monster,NA,NA
Ancient Sorcerer,DARK,Spellcaster,Normal Monster,NA,NA
Ancient Telescope,NA,Normal,Spell Card,NA,NA
Ancient Tool,DARK,Machine,Normal Monster,NA,NA
Ancient Tree of Enlightenment,EARTH,Plant,Normal Monster,NA,NA
Ancient Warriors - Ambitious Cao De,FIRE,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Deceptive Jia Wen,FIRE,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Eccentric Lu Jing,WATER,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Fearsome Zhang Yuan,FIRE,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Graceful Zhou Gong,WATER,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Ingenious Zhuge Kong,WIND,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Loyal Guan Yun,WIND,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Masterful Sun Mou,WATER,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Rebellious Lu Feng,DARK,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Valiant Zhang De,WIND,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Virtuous Liu Xuan,WIND,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors Oath - Double Dragon Lords,WIND,Beast-Warrior,Link Monster,NA,NA
Ancient Warriors Saga - Borrowing of Arrows,NA,Continuous,Spell Card,NA,NA
Ancient Warriors Saga - Chivalrous Path,NA,Continuous,Trap Card,NA,NA
Ancient Warriors Saga - Defense of Changban,NA,Continuous,Trap Card,NA,NA
Ancient Warriors Saga - East-by-South Winds,NA,Continuous,Spell Card,NA,NA
Ancient Warriors Saga - Sun-Liu Alliance,NA,Continuous,Spell Card,NA,NA
Ancient Warriors Saga - Three Visits,NA,Continuous,Spell Card,NA,NA
And the Band Played On,NA,Continuous,Trap Card,NA,NA
Andro Sphinx,LIGHT,Beast,Effect Monster,NA,NA
Anesthrokket Dragon,DARK,Dragon,Effect Monster,NA,NA
Angel O1,LIGHT,Fairy,Effect Monster,NA,NA
Angel O7,LIGHT,Fairy,Effect Monster,NA,NA
Angel of Zera,LIGHT,Fairy,Synchro Monster,NA,NA
Angel Statue - Azurune,NA,Continuous,Trap Card,NA,NA
Angel Trumpeter,EARTH,Plant,Normal Tuner Monster,NA,NA
Angmarl the Fiendish Monarch,DARK,Fiend,Effect Monster,NA,NA
Angraecum Umbrella,WATER,Spellcaster,Tuner Monster,NA,NA
Animadorned Archosaur,LIGHT,Dinosaur,Effect Monster,NA,NA
Ankuriboh,DARK,Fiend,Effect Monster,NA,NA
Annihilator Archfiend,DARK,Fiend,Effect Monster,NA,NA
Ansatsu,EARTH,Warrior,Normal Monster,NA,NA
Ante,NA,Normal,Spell Card,NA,NA
Anteatereatingant,EARTH,Insect,Effect Monster,NA,NA
Anthrosaurus,EARTH,Dinosaur,Normal Monster,NA,NA
Anti Raigeki,NA,Normal,Trap Card,NA,NA
Anti-Aircraft Flower,EARTH,Plant,Effect Monster,NA,NA
Anti-Fusion Device,NA,Normal,Trap Card,NA,NA
Anti-Magic Arrows,NA,Quick-Play,Spell Card,NA,NA
Anti-Magic Prism,NA,Normal,Trap Card,NA,NA
Anti-Spell,NA,Counter,Trap Card,NA,NA
Anti-Spell Fragrance,NA,Continuous,Trap Card,NA,NA
Antialian,EARTH,Cyberse,Effect Monster,NA,NA
