name,attribute,class,type,ban_tcg,ban_ocg
Akihiron,WATER,Aqua,Normal Monster,NA,NA
"Akz, the Pumer",EARTH,Beast-Warrior,Effect Monster,NA,NA
Al-Lumi'raj,WIND,Wyrm,Tuner Monster,NA,NA
Albion the Stigmatika Dragon,DARK,Dragon,Fusion Monster,NA,NA
Alchemic Magician,DARK,Spellcaster,XYZ Monster,NA,NA
Alchemist of Black Spells,WIND,Spellcaster,Effect Monster,NA,NA
Alchemy Cycle,SPELL/TRAP,Normal,Normal Trap,NA,NA
"Alector, Sovereign of Birds",WIND,Winged Beast,Effect Monster,NA,NA
Aleister the Invoker,DARK,Spellcaster,Effect Monster,NA,NA
Aleister the Invoker of Madness,DARK,Spellcaster,Link Monster,NA,NA
"Aleth, Dusk of the Abhyss",DARK,Reptile,Effect Monster,NA,NA
Alexandrite Dragon,LIGHT,Dragon,Normal Monster,NA,NA
"Alich, Malebranche of the Burning Abyss",DARK,Fiend,Effect Monster,NA,NA
Alien Ammonite,LIGHT,Reptile,Tuner Monster,NA,NA
Alien Brain,SPELL/TRAP,Normal,Normal Trap,NA,NA
Alien Dog,LIGHT,Reptile,Effect Monster,NA,NA
Alien Grey,LIGHT,Reptile,Flip Effect Monster,NA,NA
Alien Hunter,WATER,Reptile,Effect Monster,NA,NA
Alien Hypno,WATER,Reptile,Gemini Monster,NA,NA
Alien Infiltrator,EARTH,Reptile,Effect Monster,NA,NA
Alien Kid,LIGHT,Reptile,Effect Monster,NA,NA
Alien Mars,FIRE,Reptile,Effect Monster,NA,NA
Alien Mother,DARK,Reptile,Effect Monster,NA,NA
Alien Overlord,DARK,Reptile,Effect Monster,NA,NA
Alien Psychic,DARK,Reptile,Effect Monster,NA,NA
Alien Shocktrooper,EARTH,Reptile,Normal Monster,NA,NA
Alien Shocktrooper M-Frame,LIGHT,Reptile,Link Monster,NA,NA
Alien Skull,WIND,Reptile,Effect Monster,NA,NA
Alien Telepath,FIRE,Reptile,Effect Monster,NA,NA
Alien Warrior,EARTH,Reptile,Effect Monster,NA,NA
Alinsection,EARTH,Insect,Normal Monster,NA,NA
All-Eyes Phantom Dragon,LIGHT,Dragon,Pendulum Effect Monster,NA,NA
All-Out Attacks,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Alligator's Sword,EARTH,Beast,Normal Monster,NA,NA
Alligator's Sword Dragon,WIND,Dragon,Fusion Monster,NA,NA
Allure of Darkness,SPELL/TRAP,Normal,Normal Spell,NA,NA
Allure Queen LV3,DARK,Spellcaster,Effect Monster,NA,NA
Allure Queen LV5,DARK,Spellcaster,Effect Monster,NA,NA
Allure Queen LV7,DARK,Spellcaster,Effect Monster,NA,NA
Alluring Mirror Split,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Ally Mind,DARK,Machine,Normal Tuner Monster,NA,NA
Ally of Justice Catastor,DARK,Machine,Synchro Monster,NA,NA
Ally of Justice Clausolas,DARK,Machine,Normal Monster,NA,NA
Ally of Justice Core Destroyer,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Cosmic Gateway,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Cycle Reader,DARK,Machine,Tuner Monster,NA,NA
Ally of Justice Cyclone Creator,DARK,Machine,Tuner Monster,NA,NA
Ally of Justice Decisive Armor,DARK,Machine,Synchro Monster,NA,NA
Ally of Justice Enemy Catcher,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Field Marshal,DARK,Machine,Synchro Monster,NA,NA
Ally of Justice Garadholg,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Light Gazer,DARK,Machine,Synchro Monster,NA,NA
Ally of Justice Nullfier,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Omni-Weapon,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Quarantine,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Reverse Break,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Rudra,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Searcher,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Thousand Arms,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Thunder Armor,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Unknown Crusher,DARK,Machine,Effect Monster,NA,NA
Ally of Justice Unlimiter,DARK,Machine,Effect Monster,NA,NA
Ally Salvo,DARK,Machine,Effect Monster,NA,NA
Aloof Lupine,DARK,Beast,Effect Monster,NA,NA
"Alpacaribou, Mystical Beast of the Forest",EARTH,Beast,Effect Monster,NA,NA
Alpha The Electromagnet Warrior,EARTH,Rock,Effect Monster,NA,NA
Alpha the Magnet Warrior,EARTH,Rock,Normal Monster,NA,NA
"Alpha, the Master of Beasts",EARTH,Beast,Effect Monster,NA,NA
"Alsei, the Sylvan High Protector",LIGHT,Plant,XYZ Monster,NA,NA
Altar for Tribute,SPELL/TRAP,Normal,Normal Trap,NA,NA
Altergeist Camouflage,SPELL/TRAP,Normal,Normal Trap,NA,NA
Altergeist Dragvirion,DARK,Spellcaster,Synchro Monster,NA,NA
Altergeist Emulatelf,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Altergeist Failover,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Altergeist Fifinellag,DARK,Spellcaster,Tuner Monster,NA,NA
Altergeist Fijialert,WATER,Spellcaster,Effect Monster,NA,NA
Altergeist Haunted Rock,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Altergeist Hexstia,FIRE,Spellcaster,Link Monster,NA,NA
Altergeist Kidolga,DARK,Spellcaster,Link Monster,NA,NA
Altergeist Kunquery,EARTH,Spellcaster,Effect Monster,NA,NA
Altergeist Manifestation,SPELL/TRAP,Normal,Normal Trap,NA,NA
Altergeist Marionetter,LIGHT,Spellcaster,Effect Monster,NA,NA
Altergeist Meluseek,WATER,Spellcaster,Effect Monster,NA,NA
Altergeist Memorygant,DARK,Spellcaster,Link Monster,NA,NA
Altergeist Multifaker,DARK,Spellcaster,Effect Monster,NA,Limited
Altergeist Pixiel,WIND,Spellcaster,Effect Monster,NA,NA
Altergeist Pookuery,DARK,Spellcaster,Effect Monster,NA,NA
Altergeist Primebanshee,DARK,Spellcaster,Link Monster,NA,NA
Altergeist Protocol,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Altergeist Silquitous,WIND,Spellcaster,Effect Monster,NA,NA
Altitude Knight,WIND,Warrior,Effect Monster,NA,NA
Alviss of the Nordic Alfar,DARK,Spellcaster,Effect Monster,NA,NA
Amabie,WATER,Fairy,Effect Monster,NA,NA
Amano-Iwato,EARTH,Rock,Spirit Monster,NA,NA
Amanokujaki,LIGHT,Fiend,Tuner Monster,NA,NA
Amarylease,EARTH,Plant,Effect Monster,NA,NA
Amaterasu,LIGHT,Fairy,Spirit Monster,NA,NA
Amatsu-Okami of the Divine Peaks,LIGHT,Dragon,Link Monster,NA,NA
Amaze Ɐttraction Cyclone Coaster,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amaze Ɐttraction Horror House,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amaze Ɐttraction Majestic Manège,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amaze Ɐttraction Rapid Racing,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amaze Ɐttraction Vanquish Viking,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amaze Ɐttraction Wonder Wheel,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amazement Administrator (Ɐrlechino),DARK,Psychic,Effect Monster,NA,NA
Amazement Ambassador (Bufo),EARTH,Beast,Effect Monster,NA,NA
Amazement Assistant (Delia),LIGHT,Machine,Effect Monster,NA,NA
Amazement Attendant (Comica),LIGHT,Machine,Effect Monster,NA,NA
Amazement Family Face,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amazement Precious Park,SPELL/TRAP,Field,Field Spell,NA,NA
Amazement Special Show,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Amazing Pendulum,SPELL/TRAP,Normal,Normal Spell,NA,NA
Amazing Time Ticket,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Amazon of the Seas,WATER,Fish,Normal Monster,NA,NA
Amazoness Archer,EARTH,Warrior,Effect Monster,NA,Banned
Amazoness Archers,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amazoness Baby Tiger,EARTH,Beast,Effect Monster,NA,NA
Amazoness Blowpiper,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Call,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Amazoness Chain Master,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Empress,EARTH,Warrior,Fusion Monster,NA,NA
Amazoness Fighter,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Fighting Spirit,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Amazoness Heirloom,SPELL/TRAP,Equip,Equip Spell,NA,NA
Amazoness Onslaught,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Amazoness Paladin,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Pet Liger,EARTH,Beast,Fusion Monster,NA,NA
Amazoness Princess,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Queen,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Sage,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Scouts,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Shamanism,SPELL/TRAP,Normal,Normal Trap,NA,NA
Amazoness Spellcaster,SPELL/TRAP,Normal,Normal Spell,NA,NA
Amazoness Spy,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Swords Woman,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Tiger,EARTH,Beast,Effect Monster,NA,NA
Amazoness Trainee,EARTH,Warrior,Effect Monster,NA,NA
Amazoness Village,SPELL/TRAP,Field,Field Spell,NA,NA
Amazoness Willpower,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Ambitious Gofer,DARK,Fiend,Effect Monster,NA,NA
Ambulance Rescueroid,FIRE,Machine,Fusion Monster,NA,NA
Ambulanceroid,EARTH,Machine,Effect Monster,NA,NA
Ambush Fangs,SPELL/TRAP,Normal,Normal Trap,NA,NA
Ameba,WATER,Aqua,Effect Monster,NA,NA
Amores of Prophecy,EARTH,Spellcaster,Effect Monster,NA,NA
"Amorphactor Pain, the Imagination Dracoverlord",EARTH,Dragon,Ritual Effect Monster,NA,NA
Amorphage Envy,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Gluttony,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Goliath,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Greed,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Infection,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Amorphage Lechery,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Lysis,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Amorphage Pride,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Sloth,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphage Wrath,EARTH,Dragon,Pendulum Effect Monster,NA,NA
Amorphous Persona,SPELL/TRAP,Field,Field Spell,NA,NA
Amphibian Beast,WATER,Fish,Normal Monster,NA,NA
Amphibious Bugroth,WATER,Aqua,Fusion Monster,NA,NA
Amphibious Bugroth MK-3,WATER,Machine,Effect Monster,NA,NA
Amphibious Swarmship Amblowhale,FIRE,Machine,Link Monster,NA,NA
Amplifier,SPELL/TRAP,Equip,Equip Spell,NA,NA
Amulet Dragon,DARK,Dragon,Fusion Monster,NA,NA
Amulet of Ambition,SPELL/TRAP,Equip,Equip Spell,NA,NA
"Amunesia, Queen of the Abhyss",DARK,Reptile,Effect Monster,NA,NA
An Owl of Luck,WIND,Winged Beast,Flip Effect Monster,NA,NA
An Unfortunate Report,SPELL/TRAP,Normal,Normal Trap,NA,NA
Anarchist Monk Ranshin,EARTH,Spellcaster,Effect Monster,NA,NA
Ancient Brain,DARK,Fiend,Normal Monster,NA,NA
Ancient Chant,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient City - Rainbow Ruins,SPELL/TRAP,Field,Field Spell,NA,NA
Ancient Crimson Ape,LIGHT,Beast,Effect Monster,NA,NA
Ancient Dragon,LIGHT,Dragon,Effect Monster,NA,NA
Ancient Elf,LIGHT,Spellcaster,Normal Monster,NA,NA
Ancient Fairy Dragon,LIGHT,Dragon,Synchro Monster,Banned,Banned
Ancient Flamvell Deity,FIRE,Pyro,Synchro Monster,NA,NA
Ancient Forest,SPELL/TRAP,Field,Field Spell,NA,NA
Ancient Gear,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Ballista,EARTH,Machine,Link Monster,NA,NA
Ancient Gear Beast,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Box,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Cannon,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Castle,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Ancient Gear Catapult,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Gear Drill,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Gear Engineer,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Explosive,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Gear Factory,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Gear Fist,SPELL/TRAP,Equip,Equip Spell,NA,NA
Ancient Gear Fortress,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Ancient Gear Frame,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Fusion,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Gear Gadget,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Gadjiltron Chimera,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Gadjiltron Dragon,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Golem,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Golem - Ultimate Pound,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Howitzer,EARTH,Machine,Fusion Monster,NA,NA
Ancient Gear Hunting Hound,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Hydra,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Knight,EARTH,Machine,Gemini Monster,NA,NA
Ancient Gear Megaton Golem,EARTH,Machine,Fusion Monster,NA,NA
Ancient Gear Reactor Dragon,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Reborn,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Ancient Gear Soldier,EARTH,Machine,Effect Monster,NA,NA
Ancient Gear Tank,SPELL/TRAP,Equip,Equip Spell,NA,NA
Ancient Gear Token,EARTH,Machine,Token,NA,NA
Ancient Gear Workshop,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Gear Wyvern,EARTH,Machine,Effect Monster,NA,NA
Ancient Jar,EARTH,Rock,Normal Monster,NA,NA
Ancient Lamp,WIND,Spellcaster,Effect Monster,NA,NA
Ancient Leaf,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Lizard Warrior,EARTH,Reptile,Normal Monster,NA,NA
Ancient One of the Deep Forest,EARTH,Beast,Normal Monster,NA,NA
Ancient Pixie Dragon,DARK,Dragon,Synchro Monster,NA,NA
Ancient Rules,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Sacred Wyvern,LIGHT,Fairy,Synchro Monster,NA,NA
Ancient Sorcerer,DARK,Spellcaster,Normal Monster,NA,NA
Ancient Telescope,SPELL/TRAP,Normal,Normal Spell,NA,NA
Ancient Tool,DARK,Machine,Normal Monster,NA,NA
Ancient Tree of Enlightenment,EARTH,Plant,Normal Monster,NA,NA
Ancient Warriors - Ambitious Cao De,FIRE,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Deceptive Jia Wen,FIRE,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Eccentric Lu Jing,WATER,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Fearsome Zhang Yuan,FIRE,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Graceful Zhou Gong,WATER,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Ingenious Zhuge Kong,WIND,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Loyal Guan Yun,WIND,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Masterful Sun Mou,WATER,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Rebellious Lu Feng,DARK,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Valiant Zhang De,WIND,Beast-Warrior,Effect Monster,NA,NA
Ancient Warriors - Virtuous Liu Xuan,WIND,Beast-Warrior,Effect Monster,NA,NA
